codeexterne,type_organisme,abreviation,denomination_sociale,denomination_commerciale,numeroidentification,localisation_potentielle,intitule,duree,qualifiante,certifiante,public,condition_specifique,session_codeexterne,session_datedebut,session_datefin,session_continue,sheet,in_scope
1084-0001-0039,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,itil 4 high velocity it hvit,21 Heures,NON,NON,travailleur,"-	 Etre détenteur du certificat ITIL 4 Foundation
-	 Le passage de la certification requiert un bon niveau d'anglais

Formation exclusivement réservée : 

- Aux utilisateurs de l'informatique et de la gestion des services qui travaillent dans des organisations en cours de transformation numérique. Il aidera également les personnes qui souhaitent acquérir le certificat ITIL® 4 Managing
Professional (MP).

Les rôles peuvent inclure :

Gestionnaires / concepteurs de l'expérience client/utilisateur (CX) ; gestionnaires
de la prestation de services ; gestionnaires des niveaux de service ; Architectes
d'entreprise, de services et de solutions ; analystes d'affaires ; gestionnaires
de projets ; gestionnaires de portefeuilles ; gestionnaires des relations avec les
fournisseurs ; gestionnaires des fournisseurs ; gestionnaires de contrats ; analystes
commerciaux ; gestionnaires de projet.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1084-0001-0040,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,itil 4 digital it strategy dits,21 Heures,NON,NON,travailleur,"-	 Etre détenteur du certificat ITIL 4 Foundation
-	 Le passage de la certification requiert un bon niveau d'anglais

Formation exclusivement réservée : 

- Aux employés et les organisations dans un voyage de stratégie numérique.

Sont concernés : 

Les professionnels occupant des postes de direction, y compris les directeurs numérique, les directeurs informatique et directeurs des affaires, ainsi
que les chefs de service et les responsables de l'expérience client, les consultants
et autres personnes impliquées dans les transformations numériques, la prestation de
services et la livraison stratégique.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1084-0001-0043,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,ocup 2 uml 2 5 foundation,21 Heures,NON,NON,travailleur,"- Avoir une bonne connaissance d’un langage orienté objet ou de notions d’UML est requise

Formation exclusivement réservée : 

- Tous ceux qui utilisent UML – utilisateurs/lecteurs de modèle UML et constructeurs de modèle UML – tels que : développeurs, programmeurs, analystes, gestionnaires de projets, architectes logiciels, testeurs, responsables de la documentation ou toute personne impliquée dans le processus de développement logiciel.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1084-0001-0044,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,cobit 2019 foundation,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux Business managers, aux consultants en IT management, aux professionnels de la gouvernance IT ainsi qu’aux auditeurs qui souhaitent avoir une meilleure compréhension de COBIT 19 et de ce que ce cadre de référence peut apporter à
leur entreprise.
- Aux titulaires d'un certificat COBIT 5 Foundation souhaitant obtenir le certificat COBIT 2019 Foundation.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1084-0001-0045,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,istqb certified tester foundation level ctfl,21 Heures,NON,NON,travailleur,"- Les candidats doivent avoir une connaissance pratique de base de l'informatique.


Formation exclusivement réservée : 

- Aux testeurs qui souhaitent étudier les tests structurés et qui, dans le cadre de leur
carrière de testeur, veulent obtenir le certificat ISTQB Foundation
- Aux utilisateurs, développeurs et administrateurs impliqués dans les tests des
systèmes d'information et des produits logiciels
- Aux responsables de la qualité et les chefs de projet qui veulent explorer les tests
structurés et la définition de normes de test


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1084-0001-0046,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,istqb agile tester extension,14 Heures,NON,NON,travailleur,"- Le certificat ISTQB Foundation Level est un prérequis pour passer l'examen ISTQB
Foundation Level Extension Agile Tester


Formation exclusivement réservée : 

- Aux testeurs expérimentés, les testeurs débutants ayant un intérêt pour les tests agiles, et les développeurs expérimentés ayant un intérêt pour les tests agiles.
Vous êtes : testeurs, analystes de tests, ingénieurs de tests, consultants en tests,
gestionnaires de tests, développeurs de logiciels…


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1084-0001-0051,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,siam foundation,21 Heures,NON,NON,travailleur,"- Il n'y a pas de prérequis spécifiques, mais une connaissance de la terminologie de la gestion des services informatiques ou de l'ITIL serait bénéfique. Avant de participer au cours, il est nécessaire de lire le SIAM™ Foundation Preparation Guide.

Formation exclusivement réservée : 

- Aux professionnels qui veulent comprendre et mettre en œuvre SIAM™ dans leur organisation. Il est également conçu pour les fournisseurs qui veulent mettre en œuvre et gérer les modèles d'intégration et de gestion des services. Les fonctions incluent les directeurs de l'information, les gestionnaires de services, les stratèges de portefeuille de fournisseurs de services, les gestionnaires de processus, les gestionnaires de relations d'affaires, les gestionnaires de changement, les gestionnaires de projets et de programmes, …


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1084-0001-0052,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,ia pour le management assurer le futur de votre entreprise,7 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux dirigeants désireux de comprendre en profondeur comment l'intelligence artificielle (IA) peut se transformer en un levier majeur pour renforcer la résilience de leur entreprise. Elle vise à équiper ces leaders avec les connaissances et compétences nécessaires pour exploiter pleinement le potentiel de l'IA, afin de rendre leur organisation non seulement plus efficace et compétitive, mais également plus innovante.

Elle s'adresse plus particulièrement aux :

- Aux managers, dirigeants d'entreprise, décideurs


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1084-0001-0053,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,ia pour les rh impact defis et opportunites,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux responsables des ressources humaines, les RH Business Partners, responsables Learning & Development, ... désireux de comprendre en profondeur comment l'intelligence artificielle (IA) peut se transformer en un levier majeur pour toutes les facettes des RH.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1084-0001-0054,Cheque-formation,,B2B LEARNING,,475396208,Saint-Gilles,ia pour les equipes faite de l ia votre allie professionnel,7 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Toute personne qui travaille avec un ordinateur, une tablette ou un smartphone et qui souhaite comprendre comment l'intelligence artificielle (IA) peut se transformer en un assistant personnel performant.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0409115415-56403,CISP DéFI Centre d'insertion socioprofessionnelle,AIGS,Association interrégionale Guidance et de Santé,,409115415,Saint-Nicolas,digistart,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0425429330-58060,CISP DéFI Centre d'insertion socioprofessionnelle,,Perspectives,,425429330,Saint-Nicolas,techniques de spectacles renforcement de la filiere cisp regie son lumiere,1098 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0850015849-27940,Enseignement pour Adultes,,I.E.P.S. FEDERATION WALLONIE-BRUXELLES,,850015849,Saint-Nicolas,expression artistique,250 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0462032972-18927,CISP EFT Centre d'insertion socioprofessionnelle,,"Le Futur Simple, Entreprise de Formation par le Travail",,462032972,Sainte-Ode,manutention alimentaire et non alimentaire,18 Mois,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0216697109-22750,Enseignement pour Adultes,,Commune de Sambreville,,216697109,Sambreville,informatique maintenance hardware,120 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0216697109-26120,Enseignement pour Adultes,,Commune de Sambreville,,216697109,Sambreville,informatique maintenance hardware,120 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0216697109-26141,Enseignement pour Adultes,,Commune de Sambreville,,216697109,Sambreville,informatique tableur excel niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0216697109-26241,Enseignement pour Adultes,,Commune de Sambreville,,216697109,Sambreville,informatique maintenance software,120 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0216697109-53158,Enseignement pour Adultes,,Commune de Sambreville,,216697109,Sambreville,technicien en informatique technicienne en informatique,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0216697109-57994,Enseignement pour Adultes,,Commune de Sambreville,,216697109,Sambreville,technicien en informatique technicienne en informatique,1 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0412495864-56402,CISP DéFI Centre d'insertion socioprofessionnelle,,AROCA,,412495864,Sambreville,digistart,16 Jours,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
MCCOCR,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Sambreville,vendeur caissier reassortisseur vendeuse caissiere reassortisseuse,234 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
MCCOCR,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Sambreville,vendeur caissier reassortisseur vendeuse caissiere reassortisseuse,234 Heures,OUI,OUI,travailleur,,,,,,Feuil1,in
MCCOVM,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Sambreville,vendeur vendeuse en magasin,92 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
MCCOVM,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Sambreville,vendeur vendeuse en magasin,92 Heures,OUI,OUI,travailleur,,,,,,Feuil1,in
0019-0001-0001,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,access m9 programmation fad,75 Heures,NON,NON,travailleur,"- Avoir les connaissances Windows ou avoir suivi la formation Windows - Initiation ou mise à niveau
- Avoir suivi le module Access - M5 - Construction de formulaires OU Access - M6 - Construction d'états ou avoir les connaissances équivalentes.

Formation exclusivement réservée : 

- Aux métiers
- Aux secteurs ou personnes ayant besoin d'utiliser l'outil informatique dans le cadre de ses activités.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0002,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,initiation a l informatique,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux travailleurs n'ayant pas ou peu d'expérience avec les ordinateurs, smartphones, tablettes et autres appareils hybrides. Ce cours est idéal pour les personnes désirant apprendre à utiliser efficacement les systèmes d'exploitation comme Windows 10, Android et iOS, ainsi que les applications courantes telles que Microsoft Office 365 (Word, Excel, Outlook). 

Il s'agit d'une introduction pratique aux outils informatiques essentiels pour le travail quotidien et la communication numérique.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0003,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,access m1 analyse et modelisation d une base de donnees fad,15 Heures,NON,NON,travailleur,"- Avoir les connaissances Windows ou avoir suivi la formation Windows - Initiation ou mise à niveau.

Formation exclusivement réservée : 

- Aux métiers
- Aux secteurs ou personnes ayant besoin d'utiliser l'outil informatique dans le cadre de ses activités.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0004,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,intelligence artificielle et productivite exploitez chatgpt et microsoft copilot pour optimiser vos outils de travail,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée : _x000D_
_x000D_
- Aux collaborateurs d'entreprises souhaitant améliorer leur productivité grâce à l'intelligence artificielle, en particulier les utilisateurs réguliers des outils Microsoft 365 (managers, équipes administratives, responsables de projets, etc.). _x000D_
Elle est particulièrement adaptée aux professionnels souhaitant optimiser leur temps de travail et automatiser des tâches récurrentes._x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0005,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,access m2 utilisation d une base de donnees fad,15 Heures,NON,NON,travailleur,"- Avoir les connaissances Windows ou avoir suivi la formation Windows - Initiation ou mise à niveau.

Formation exclusivement réservée : 

- Aux métiers
- Aux secteurs ou personnes ayant besoin d'utiliser l'outil informatique dans le cadre de ses activités.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0006,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,adobe illustrator cc initiation,28 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux travailleurs qui dans le cadre de leurs activités professionnelles doivent réaliser des dessins, logos, des graphiques ou des plans de rue pour des publications imprimées ou web.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0007,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,adobe illustrator cc perfectionnement,7 Heures,NON,NON,travailleur,"- Avoir les connaissances du module « Adobe Illustrator CC - Initiation »


Formation exclusivement réservée : 

- Aux travailleurs qui dans le cadre de leurs activités professionnelles doivent réaliser des dessins, logos, des graphiques ou des plans de rue pour des publications imprimées ou web.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0008,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,adobe indesign cc initiation,35 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux travailleurs qui dans le cadre de leurs activités professionnelles doivent réaliser des mises en page d'imprimés professionnels.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0009,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,access m3 construction et mise en relation de tables fad,15 Heures,NON,NON,travailleur,"- Avoir les connaissances Windows ou avoir suivi la formation Windows - Initiation ou mise à niveau
- Avoir suivi le module Access - M1a - Analyse et modélisation d'une base de données ou avoir les connaissances équivalentes

Formation exclusivement réservée : 

- Aux métiers
- Aux secteurs ou personnes ayant besoin d'utiliser l'outil informatique dans le cadre de ses activités.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0010,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,adobe indesign cc perfectionnement,7 Heures,NON,NON,travailleur,"- Avoir suivi Adobe Indesign CC (Initiation)


Formation exclusivement réservée : 

- Aux travailleurs qui dans le cadre de leurs activités professionnelles doivent réaliser des mises en page d'imprimés professionnels.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0011,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,access m4 requetes fad,15 Heures,NON,NON,travailleur,"- Avoir les connaissances Windows ou avoir suivi la formation Windows - Initiation ou mise à niveau.
- Avoir suivi  Access - Module 1b - Utilisation d'une base de données OU Access - Module 3 - Construction et mise en relation de tables OU Access - Module 2 - Mise à niveau ou avoir les connaissances équivalentes.

Formation exclusivement réservée : 

- Aux métiers
- Aux secteurs ou personnes ayant besoin d'utiliser l'outil informatique dans le cadre de ses activités.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0012,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,adobe photoshop cc initiation,28 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux travailleurs qui dans le cadre de leurs activités professionnelles doivent adapter ou retoucher des images, qu'elles soient destinées au web ou à l'impression.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0013,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,access m5 construction de formulaires fad,15 Heures,NON,NON,travailleur,"- Avoir les connaissances Windows ou avoir suivi la formation Windows - Initiation 
- Ou avoir suivi Access - M4 - Requêtes ou avoir les connaissances équivalentes

Formation exclusivement réservée : 

- Aux métiers
- Aux secteurs ou personnes ayant besoin d'utiliser l'outil informatique dans le cadre de ses activités.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0014,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,adobe photoshop cc perfectionnement,7 Heures,NON,NON,travailleur,"- Avoir suivi "" Adobe Photoshop CC (Initiation)""

Formation exclusivement réservée : 

- Aux travailleurs qui dans le cadre de leurs activités professionnelles doivent adapter ou retoucher des images, qu'elles soient destinées au web ou à l'impression.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0015,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,photoshop initiation,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux travailleurs qui dans le cadre de leurs activités professionnelles doivent améliorer leurs compétences en édition d'images.
- Aux professionnels du design graphique débutants dans l'utilisation de Photoshop.
- Aux créateurs de contenu numérique et web designers cherchant à maîtriser les bases de Photoshop.
- Aux travailleurs 
intéresés par l'apprentissage des techniques de base de manipulation et de correction d'images.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0016,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,excel expert,14 Heures,NON,NON,travailleur,"- Cette formation ""Excel Expert"" est destinée aux professionnels ayant une bonne maîtrise des bases d'Excel.
- Avoir suivi ""Excel Module 1""

Formation exclusivement réservée : 

- Aux travailleurs qui dans le cadre de leurs activités professionnelles doivent approfondir leurs compétences en analyse, gestion et visualisation de données complexes dans un cadre professionnel.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0017,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,excel professionnel,14 Heures,NON,NON,travailleur,"- Avoir suivi ""Excel Module 1"".


Formation exclusivement réservée : 

- Aux employés de bureau, les professionnels de la finance et de la comptabilité, les gestionnaires de projet, les analystes de données, et tout travailleur qui dans le cadre de leurs activités professionnelles souhaitent améliorer leurs compétences de base à intermédiaires en Excel pour une utilisation professionnelle efficace.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0018,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,gmail,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux professionnels et les employés de bureau souhaitant améliorer leur efficacité dans la gestion quotidienne des emails et des calendriers professionnels. Ce programme est conçu pour ceux qui dans le cadre de leurs activités professionnelles  utilisent Gmail comme outil principal de communication professionnelle et qui cherchent à exploiter pleinement ses fonctionnalités avancées telles que la gestion des libellés, les filtres de messagerie, le partage de calendriers, et les outils collaboratifs intégrés.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0019,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,google docs,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux professionnels qui souhaitent acquérir des compétences avancées dans la création, la gestion et la collaboration sur des documents professionnels.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0020,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,access m6 construction d etats fad,15 Heures,NON,NON,travailleur,"- Avoir les connaissances Windows ou avoir suivi la formation Windows - Initiation 
- Ou avoir suivi Access - M4 - Requêtes ou avoir les connaissances équivalentes

Formation exclusivement réservée : 

- Aux métiers
- Aux secteurs ou personnes ayant besoin d'utiliser l'outil informatique dans le cadre de ses activités.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0019-0001-0021,Cheque-formation,CEGIS,CEGIS,,442085121,Seraing,google sheets,42 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux professionnels, les analystes de données, les gestionnaires de projet qui dans le cadre de leurs activités professionnelles doivent acquérir ou d'améliorer leurs compétences dans la manipulation avancée de données à l'aide de Google Sheets. 

Ce programme convient particulièrement à ceux cherchant à exploiter les capacités avancées de Google Sheets pour la gestion de données, l'analyse statistique, la création de graphiques personnalisés, ainsi que l'utilisation de fonctions avancées et de tableaux croisés dynamiques pour optimiser les processus d'analyse et de prise de décision.


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
